"25 to 34 Years, Both Sexes",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,44880,151,536,1767,12470,11090,18870,N
2023,44910,193,629,1733,12170,11200,18990,N
2022,44583,133,598,1937,12104,11493,18318,N
2021,45284,145,574,2133,11932,12002,18497,N
2020,45260,168,557,1968,11797,12178,18592,N
2019,45208,232,679,2353,11639,12269,18037,N
2018,44854,182,776,2435,11460,12501,17501,N
2017,44250,218,732,2532,11494,12792,16482,N
2016,43763,210,858,2656,11224,12609,16207,N
2015,43006,292,863,2938,10965,12420,15528,N
2014,42466,286,946,3018,11040,12178,14997,N
2013,41797,260,1035,3116,10950,11955,14481,N
2012,41219,273,1063,3079,10974,11765,14065,N
2011,41584,318,1140,3098,11250,12046,13731,N
2010,41085,323,1169,3271,11186,11655,13480,N
2009,40520,321,1226,3202,11351,11409,13010,N
2008,40146,282,1189,3296,11297,11113,12969,N
2007,39868,380,1283,3462,11408,10961,12375,N
2006,39481,359,1410,3375,11302,11229,11806,N
2005,39310,414,1375,3422,11269,10865,11965,N
2004,39201,430,1399,3239,11244,11044,11844,N
2003,39242,370,1370,3336,11392,10986,11791,N
2002,38670,433,1393,3245,10988,10776,11834,N
2001,38865,380,1317,3202,11294,11146,11526,N
2000,37786,287,1135,3052,11546,10700,11066,N
1999,38474,280,1142,3296,11826,10893,11040,N
1998,39354,319,1207,3228,12569,11220,10811,N
1997,40256,334,1163,3624,12710,11524,10892,N
1996,40919,418,1169,3780,13087,11624,10841,N
1995,41388,394,1264,3667,14061,11659,10342,N
1994,41946,367,1297,4057,14483,11913,9829,N
1993,41864,382,1223,3894,15036,11361,9968,N
1992,42493,433,1250,4071,16021,10860,9861,N
1991,42905,465,1322,4178,17503,9283,10153,12.9
1990,43240,505,1413,4041,17635,9320,10326,12.9
1989,43240,446,1352,4013,17901,9072,10454,12.9
1988,42953,430,1308,4095,17887,9076,10155,12.9
1987,42635,390,1360,3995,17539,9157,10196,12.9
1986,42053,387,1359,3797,17311,9104,10094,12.9
1985,40858,362,1328,3703,16748,8980,9737,12.9
1984,40173,404,1371,3638,16431,8555,9771,12.9
1983,39342,376,1324,3664,15804,8567,9605,12.9
1982,38703,337,1371,3598,15893,8304,9200,12.9
1981,37828,337,1428,3665,15419,8198,8782,12.9
1980,36615,362,1424,3571,14481,7942,8836,12.9
1979,34053,370,1381,3452,13338,7415,8096,12.9
1978,33120,325,1459,3515,12993,7008,7821,12.9
1977,32284,269,1383,3715,12845,6398,7676,12.8
1976,31148,247,1508,3619,12920,5813,7041,12.8
1975,30092,313,1644,3743,12544,5403,6443,12.7
1974,28972,352,1654,3763,12362,5056,5785,12.7
1973,27793,333,1850,3915,12194,4454,5047,12.6
1972,26517,285,1791,3981,11635,4090,4734,12.6
1971,25545,327,2011,3986,11232,3822,4169,12.6
1970,24865,329,1937,4251,10929,3491,3926,12.5
1969,24072,359,2086,4140,10592,3202,3693,12.5
1968,23285,350,2246,4129,10157,2989,3413,12.5
1967,22388,319,2293,4017,9645,2946,3169,12.5
1966,22023,430,2208,4158,9546,2647,3037,12.4
1965,21980,543,2437,4058,9500,2561,2880,12.4
1964,21997,502,2591,4176,9370,2529,2830,12.4
1962,22130,597,2936,4371,8815,2552,2859,12.4
1960,22821,709,3738,5135,8166,2572,2499,12.4
1959,22922,761,3348,4741,8979,2398,2480,12.3
1957,23437,750,3971,4965,8927,2275,2351,12.2
1952,23138,844,4362,4898,8620,2220,2052,12.2
1950,23626,1147,5308,5050,7660,2198,1252,11.9
1947,22627,1015,5523,4997,7630,1908,1378,11.9
1940,21339,1377,7676,4553,4702,1554,1288,10
