"35 to 54 Years, Male",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,42040,312,1257,2354,11910,9838,16370,N
2023,41730,310,1215,2388,11800,9822,16200,N
2022,41464,385,1156,2435,12187,9620,15680,N
2021,40238,393,1219,2321,11446,9406,15453,N
2020,39591,393,1110,2385,11048,9479,15176,N
2019,40180,388,1202,2690,11688,9863,14348,N
2018,40411,356,1182,2657,11753,9991,14472,N
2017,40303,395,1305,2711,12032,10026,13834,N
2016,40539,443,1336,2903,12021,10217,13620,N
2015,40565,469,1416,2987,12401,9996,13296,N
2014,40525,489,1459,2992,12246,10199,13139,N
2013,40868,409,1464,2962,12417,10473,13142,N
2012,41167,462,1525,2927,12869,10439,12944,N
2011,41209,447,1292,3027,13250,10339,12854,N
2010,41858,446,1367,3227,13824,10311,12682,N
2009,42263,500,1458,3278,13644,10670,12713,N
2008,42419,507,1490,3228,13625,10711,12858,N
2007,42476,491,1433,3480,13737,10359,12976,N
2006,42344,549,1472,3356,13660,10608,12701,N
2005,42024,547,1476,3063,14017,10429,12491,N
2004,41612,577,1323,3157,13238,10636,12682,N
2003,41340,538,1372,3282,12903,10622,12622,N
2002,41154,513,1333,3063,13133,10739,12373,N
2001,40858,488,1368,2974,12784,10827,12417,N
2000,40024,479,1288,2845,12845,10716,11854,N
1999,39300,470,1290,3101,12544,10233,11664,N
1998,38654,486,1333,3284,12239,10098,11214,N
1997,37912,486,1370,3143,12326,9713,10870,N
1996,36596,520,1319,2877,11749,9514,10526,N
1995,35994,529,1368,2781,11223,9305,10784,N
1994,34998,545,1383,2621,11009,9073,10369,N
1993,33751,478,1316,2660,10983,8624,9687,N
1992,32619,472,1368,2750,10670,7968,9389,N
1991,31460,530,1624,2612,11092,6430,9169,13
1990,30623,527,1658,2573,10790,6169,8905,13
1989,29597,504,1762,2628,10235,5719,8749,13
1988,28645,498,1725,2654,10100,5327,8340,12.9
1987,27680,412,1801,2617,9781,5173,7895,12.9
1986,26925,475,1919,2699,9393,5013,7426,12.9
1985,26181,501,1928,2726,9210,4502,7314,12.9
1984,25460,506,2014,2831,8926,4257,6929,12.8
1983,24796,548,2108,2862,8795,3884,6601,12.8
1982,24164,530,2302,2989,8609,3757,5977,12.7
1981,23646,572,2425,3112,8431,3519,5588,12.7
1980,23373,590,2492,3202,8278,3442,5370,12.7
1979,22976,545,2612,3194,8232,3306,5090,12.6
1978,22719,609,2779,3377,8001,3136,4817,12.6
1977,22445,661,2889,3554,7822,3000,4520,12.5
1976,22403,730,3004,3473,7904,2969,4323,12.5
1975,22358,763,3100,3510,7952,2879,4153,12.5
1974,22367,733,3286,3532,8004,2730,4081,12.6
1973,22166,716,3413,3586,7836,2714,3901,12.4
1972,22200,749,3674,3917,7663,2564,3631,12.4
1971,22474,849,3985,3823,7674,2578,3567,12.3
1970,22475,834,4208,3876,7612,2555,3390,12.3
1969,22420,889,4359,4012,7427,2456,3277,12.3
1968,22521,931,4487,4160,7324,2364,3257,12.2
1967,22482,1000,4700,4270,7143,2244,3128,12.2
1966,22508,1085,4886,4455,6990,2029,3063,12.1
1965,22534,1081,5076,4462,6815,2161,2937,12.1
1964,22457,1158,5226,4416,6657,2212,2789,12.2
1962,22081,1235,5545,4359,6202,2142,2598,11.9
1960,21919,1397,6415,4579,5364,1957,2206,11.1
1959,21511,1350,5781,4329,5604,1827,2250,11.5
1957,20873,1491,6293,3987,5195,1558,1972,11
1952,18888,1466,6512,3462,4040,1518,1576,10.3
1950,18896,1834,7338,3339,3151,1271,1403,9.6
1947,18165,1678,7765,3102,2907,1168,1258,8.6
1940,17127,2480,8458,2388,1798,819,917,8.5
