"55 Years and Over, Female",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,53330,769,1647,2790,16070,14450,17610,N
2023,52740,691,1680,2754,16650,14150,16820,N
2022,52182,711,1552,2812,16776,13995,16336,N
2021,52361,661,1646,2967,16682,13816,16588,N
2020,51656,687,1640,3179,16129,14062,15958,N
2019,50755,687,1786,3262,16341,13862,14817,N
2018,49819,736,1865,3422,16504,13340,13953,N
2017,48698,719,1849,3329,16107,13063,13630,N
2016,47694,782,1875,3195,16107,12745,12990,N
2015,46516,839,1925,3570,16059,11922,12201,N
2014,45284,821,2039,3295,15812,11739,11578,N
2013,44158,749,2141,3438,15507,11327,10996,N
2012,42989,734,2199,3590,15311,10769,10384,N
2011,41136,775,2140,3358,14946,10178,9739,N
2010,40230,793,2195,3440,14725,9682,9395,N
2009,39263,867,2228,3669,14268,9421,8810,N
2008,38251,780,2362,3588,14269,9119,8133,N
2007,37306,855,2398,3796,13902,8781,7573,N
2006,36425,922,2521,3761,13472,8630,7119,N
2005,35547,897,2645,3887,13474,7916,6728,N
2004,34687,826,2715,3936,13287,7593,6329,N
2003,33939,860,2949,3964,13129,7190,5848,N
2002,33035,864,3038,4210,12664,6860,5399,N
2001,32329,847,3032,4213,12549,6733,4956,N
2000,30985,817,3085,4105,12243,6218,4517,N
1999,30609,879,3232,4186,12031,5965,4319,N
1998,30140,868,3386,4386,11780,5560,4160,N
1997,29684,855,3596,4483,11407,5427,3916,N
1996,29390,848,3659,4523,11350,5387,3623,N
1995,29142,915,3894,4255,11340,5410,3330,N
1994,28848,909,4054,4419,11242,4926,3298,N
1993,29080,1066,4442,4462,11447,4519,3149,N
1992,28904,1084,4456,4478,11409,4455,3021,N
1991,28729,1125,4687,4495,11667,3690,3066,12.3
1990,28461,1167,5098,4619,11063,3495,3019,12.3
1989,28255,1211,5195,4587,11099,3300,2863,12.3
1988,28139,1208,5498,4495,11034,3250,2655,12.3
1987,28004,1248,5782,4504,10637,3294,2539,12.2
1986,27762,1336,5886,4630,10367,3160,2382,12.2
1985,27578,1360,6052,4638,10129,2979,2420,12.2
1984,27309,1377,6183,4363,10086,2843,2459,12.2
1983,26954,1428,6364,4423,9567,2774,2398,12.1
1982,26593,1458,6511,4435,9330,2705,2150,12.1
1981,26152,1589,6742,4308,8868,2690,1954,12
1980,25703,1571,6889,4245,8460,2509,2030,12
1979,24514,1474,6750,4034,7920,2389,1944,12
1978,24038,1545,6889,4149,7457,2263,1733,11.6
1977,23568,1546,6972,4034,7141,2135,1742,11
1976,23196,1602,6942,4029,6871,2063,1690,11
1975,22710,1675,7198,3858,6490,1962,1527,10.9
1974,22238,1762,7261,3799,6068,1880,1463,10.7
1973,21900,1746,7359,3729,5790,1814,1461,10.5
1972,21539,1743,7455,3654,5526,1737,1425,10.3
1971,21500,1896,7805,3556,5179,1665,1402,9.9
1970,21052,1946,7993,3292,4879,1615,1327,9.5
1969,20601,2009,7878,3264,4669,1526,1255,9.4
1968,20180,2106,7795,3237,4269,1544,1229,9.1999999999999993
1967,19756,2063,8021,3117,3937,1454,1164,8.9
1966,19339,2152,7797,3074,3749,1419,1147,8.9
1965,18955,2243,7821,3026,3514,1300,1048,8.6999999999999993
1964,18546,2383,7805,2794,3360,1282,920,8.5
1962,17807,2404,7894,2410,2964,1302,833,8.3000000000000007
1960,17007,2465,7823,2534,2304,1198,683,8.6
1959,16263,2261,7049,2301,2412,1057,688,8.3000000000000007
1957,15581,2457,6752,2032,2371,854,630,8.1999999999999993
1952,13662,2126,6476,1664,1818,818,628,7.9
1950,13150,2331,6139,1582,1593,670,436,8.4
1947,11810,2000,5945,1240,1472,539,343,7.6
1940,9777,1886,5217,932,973,372,219,8.3000000000000007
