"55 Years and Over, Male",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,47130,558,1518,2751,14110,11470,16720,N
2023,46530,526,1454,2736,14240,11330,16250,N
2022,46189,688,1396,2825,14054,11327,15898,N
2021,45252,596,1375,2740,13472,11162,15906,N
2020,45143,566,1459,2802,13410,11009,15897,N
2019,43789,547,1649,2800,12976,10724,15093,N
2018,42961,522,1670,2851,13041,10630,14247,N
2017,41901,561,1617,2813,12808,10288,13814,N
2016,40988,624,1708,2814,12374,10236,13231,N
2015,39895,608,1765,2707,12398,9863,12556,N
2014,38850,544,1790,2800,12150,9320,12246,N
2013,37621,557,1790,2605,11539,9060,12070,N
2012,36489,614,1775,2754,11220,8574,11552,N
2011,35027,597,1934,2625,10676,8230,10966,N
2010,33778,647,1923,2611,10399,7672,10525,N
2009,32814,689,1874,2669,9886,7456,10241,N
2008,31841,631,1932,2751,9510,7259,9759,N
2007,30920,721,2060,2884,9505,6723,9026,N
2006,30060,705,2090,2784,9488,6193,8837,N
2005,29198,717,2157,2896,8918,6167,8341,N
2004,28347,639,2192,2885,8631,5841,8159,N
2003,27694,729,2423,2912,8425,5694,7510,N
2002,26608,664,2601,3048,8063,5257,6975,N
2001,25908,697,2558,2964,8073,5131,6485,N
2000,25023,706,2696,2817,7816,4906,6079,N
1999,24694,712,2746,2911,7712,4756,5856,N
1998,24197,755,2740,3000,7745,4461,5496,N
1997,23668,773,3026,3060,7417,4139,5255,N
1996,23352,795,3058,2998,7198,4254,5055,N
1995,22881,839,3153,2980,6980,4254,4675,N
1994,22669,894,3327,3037,6987,3962,4462,N
1993,23038,992,3595,3174,7178,3587,4508,N
1992,22836,1033,3676,3277,6991,3549,4312,N
1991,22708,1217,3980,3183,7287,2850,4193,12.4
1990,22337,1182,4141,3274,6986,2707,4046,12.4
1989,22167,1202,4198,3317,7003,2616,3829,12.3
1988,21989,1117,4471,3366,6968,2455,3609,12.3
1987,21855,1160,4762,3261,6673,2504,3496,12.3
1986,21622,1275,4813,3286,6509,2355,3385,12.2
1985,21391,1252,5001,3234,6387,2229,3289,12.2
1984,21014,1209,4951,3270,6265,2185,3132,12.2
1983,20769,1343,4986,3282,5906,2141,3117,12.1
1982,20508,1362,5026,3313,5759,2102,2946,12.1
1981,20237,1394,5165,3292,5597,2032,2758,12
1980,19967,1424,5436,3206,5409,1986,2506,11.9
1979,19292,1446,5479,2964,5167,1935,2301,11.8
1978,18939,1467,5701,2919,4919,1824,2110,11.4
1977,18608,1502,5770,2787,4835,1700,2011,11.2
1976,18233,1507,5733,2884,4473,1646,1989,11
1975,17903,1628,5845,2871,4308,1480,1768,10.5
1974,17579,1693,6042,2817,3993,1356,1682,10.1
1973,17263,1678,6111,2774,3811,1245,1645,9.9
1972,17120,1728,6252,2698,3612,1215,1614,9.6
1971,17288,1913,6629,2668,3285,1214,1579,9.1
1970,17074,2011,6655,2583,3127,1182,1516,9
1969,16822,2003,6701,2536,3099,1086,1397,8.8000000000000007
1968,16609,2137,6728,2523,2816,1078,1328,8.6999999999999993
1967,16398,2247,6827,2379,2685,989,1271,8.5
1966,16201,2288,6944,2317,2491,939,1223,8.3000000000000007
1965,16015,2368,6992,2265,2331,893,1164,8.1999999999999993
1964,15789,2504,6897,2159,2237,876,1113,8.1
1962,15440,2644,6813,2032,2030,864,1057,8
1960,14895,2704,7121,1969,1453,853,796,8.4
1959,14304,2491,6436,1759,1584,718,857,7.9
1957,13967,2696,6244,1570,1493,608,831,7.7
1952,12544,2428,6162,1318,1262,528,636,7.5
1950,12277,2609,5808,1209,1111,500,569,8.1999999999999993
1947,11424,2393,5656,939,1109,464,482,7.3
1940,9815,2293,5249,724,660,313,361,8.1
