"25 Years and Over, Female",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,118100,1181,2845,5436,30920,30290,47400,N
2023,116700,1068,2958,5404,31030,29940,46340,N
2022,116296,1052,2843,5695,31383,29958,45365,N
2021,116253,989,2938,5844,30693,30347,45442,N
2020,115540,1053,2935,6063,30243,30972,44275,N
2019,114783,1098,3192,6580,31002,30902,42009,N
2018,113969,1156,3316,6743,31360,31142,40251,N
2017,112597,1117,3288,6799,31216,31185,38991,N
2016,111643,1231,3565,6817,31221,31192,37617,N
2015,110245,1358,3626,7408,31578,30253,36021,N
2014,108695,1341,3627,7142,31522,30279,34784,N
2013,107594,1217,3741,7282,31690,29890,33775,N
2012,106460,1246,3920,7604,31898,29267,32524,N
2011,104323,1355,3806,7320,31541,28930,31372,N
2010,103603,1336,3904,7555,31774,28350,30683,N
2009,102767,1413,4016,7833,31601,28036,29868,N
2008,101835,1289,4090,7663,31692,27747,29354,N
2007,100897,1371,4213,8157,31887,27024,28245,N
2006,99651,1479,4395,8215,31518,27234,26810,N
2005,98467,1477,4532,8311,31742,26283,26122,N
2004,97319,1363,4580,8233,31921,25808,25413,N
2003,96586,1433,4795,8297,31936,25342,24784,N
2002,95146,1445,4926,8484,31509,24915,23868,N
2001,94293,1392,4845,8664,31316,25161,22915,N
2000,91620,1400,4861,8378,31435,23953,21594,N
1999,90837,1404,5004,8707,31566,23133,21021,N
1998,89835,1403,5220,8758,31599,22714,20142,N
1997,88961,1387,5450,8999,31360,22442,19323,N
1996,87984,1491,5528,9171,30911,22071,18813,N
1995,86975,1476,5642,8874,31072,22317,17594,N
1994,85973,1487,5932,9135,31111,21470,16838,N
1993,85181,1672,6154,9246,31823,19930,16357,N
1992,84248,1712,6263,9587,32086,18889,15709,N
1991,83207,1784,6747,9491,34083,15449,15652,12.7
1990,82116,1829,7200,9462,33693,14806,15126,12.7
1989,80930,1904,7402,9643,33440,13888,14652,12.6
1988,79724,1862,7700,9599,33303,13741,13519,12.6
1987,78467,1846,8042,9508,32671,13417,12983,12.6
1986,77102,1916,8226,9612,32078,12874,12399,12.6
1985,75768,1926,8390,9770,31314,12242,12126,12.6
1984,74444,1939,8571,9596,31083,11603,11651,12.6
1983,73016,2015,8964,9814,30012,11220,10990,12.5
1982,71762,2045,9245,10046,29677,10673,10076,12.5
1981,70390,2217,9545,9957,28896,10309,9466,12.5
1980,69020,2178,9800,10040,27854,9786,9362,12.4
1979,66309,2133,9720,9945,26665,9293,8554,12.4
1978,65097,2214,10114,10353,25761,8721,7934,12.4
1977,63953,2213,10236,10349,25312,8142,7701,12.4
1976,62946,2230,10449,10281,25109,7779,7098,12.3
1975,61861,2344,10871,10252,24584,7243,6565,12.3
1974,60838,2469,11015,10308,23972,6910,6165,12.3
1973,59799,2502,11350,10300,23437,6454,5755,12.2
1972,58782,2490,11649,10442,22746,6145,5309,12.2
1971,58270,2641,12327,10339,22021,5984,4959,12.2
1970,57527,2716,12595,10327,21563,5584,4743,12.1
1969,56719,2919,12796,10131,20955,5301,4619,12.1
1968,55959,2987,13060,10160,19991,5309,4450,12.1
1967,55107,2985,13439,10185,19157,5162,4178,12
1966,54467,3090,13488,10246,18719,4892,4032,12
1965,54004,3207,13753,10085,18369,4767,3820,12
1964,53447,3333,14086,9881,17825,4686,3629,11.8
1962,52381,3613,14511,9352,16545,4855,3505,11.6
1960,51468,3781,15656,10151,14267,4620,2991,10.9
1959,50437,3559,14451,9194,15349,4087,2969,11.2
1957,49422,3951,14682,8948,14602,3638,2813,10.9
1952,45990,3608,15398,8180,12314,3550,2638,10.4
1950,44857,4417,15824,7843,10114,3358,2264,9.6
1947,42095,3996,16222,6952,9573,2908,1946,8.9
1940,37313,4554,16773,5849,6044,2251,1386,8.6999999999999993
