"25 Years and Over, Male",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,111700,944,3073,6167,33090,26930,41490,N
2023,110900,954,3059,6083,33080,26780,40980,N
2022,109979,1151,2890,6303,33081,26701,39853,N
2021,108327,1084,2924,6274,31855,26595,39595,N
2020,107517,1053,2854,6250,31355,26580,39426,N
2019,106695,1082,3230,6792,31257,26527,37807,N
2018,105862,973,3284,6939,31325,26668,36674,N
2017,104324,1090,3312,6934,31296,26581,35112,N
2016,103372,1183,3513,7144,30780,26468,34283,N
2015,101887,1243,3669,7278,30997,25778,32923,N
2014,100592,1184,3761,7403,30718,25430,32095,N
2013,99305,1127,3836,7314,30014,25283,31731,N
2012,98119,1237,3879,7388,30216,24632,30766,N
2011,97220,1234,3883,7443,30370,24319,29971,N
2010,96325,1279,3931,7705,30682,23570,29158,N
2009,95518,1372,4027,7754,30025,23634,28706,N
2008,94470,1310,4136,7853,29491,23247,28433,N
2007,93421,1458,4249,8294,29604,22219,27596,N
2006,92233,1472,4395,7940,29380,22136,26910,N
2005,90899,1505,4402,7787,29151,21794,26259,N
2004,89558,1496,4308,7766,27889,21763,26336,N
2003,88597,1482,4566,8026,27356,21568,25598,N
2002,86996,1457,4743,7894,26947,21127,24828,N
2001,86096,1419,4673,7615,26956,21120,24313,N
2000,83611,1341,4577,7298,26651,20493,23252,N
1999,82917,1339,4651,7736,26368,20043,22782,N
1998,82376,1431,4727,8017,26575,19792,21832,N
1997,81620,1454,5023,8212,26226,19332,21374,N
1996,80339,1537,5067,7930,25649,19301,20854,N
1995,79463,1598,5231,7691,25378,18933,20631,N
1994,78539,1669,5427,7789,25404,18544,19705,N
1993,77644,1709,5594,7821,25766,17521,19234,N
1992,76579,1737,5726,8085,25774,16631,18627,N
1991,75487,2018,6299,7887,27189,13720,18373,12.8
1990,74421,2004,6557,8000,26426,13271,18164,12.8
1989,73225,1956,6659,8076,25897,12725,17913,12.8
1988,71911,1852,6849,8247,25638,12057,17268,12.7
1987,70677,1794,7259,7909,24998,12062,16654,12.7
1986,69503,1978,7446,7872,24260,11856,16091,12.7
1985,67756,1947,7629,7783,23552,11164,15682,12.7
1984,66350,1945,7688,7837,22990,10678,15211,12.7
1983,65004,2103,7750,7867,22048,10310,14926,12.7
1982,63764,2074,7987,7960,21749,10020,13974,12.6
1981,62509,2141,8322,8084,21019,9734,13208,12.6
1980,61389,2212,8627,8046,20080,9593,12832,12.6
1979,58986,2190,8785,7636,19250,9100,12025,12.6
1978,57922,2230,9195,7821,18620,8657,11398,12.5
1977,56917,2296,9330,7969,18290,8104,10926,12.5
1976,55902,2371,9463,7923,18048,7699,10397,12.5
1975,55036,2568,9760,7985,17769,7274,9679,12.4
1974,54167,2637,10186,7966,17488,6756,9135,12.4
1973,53067,2598,10488,8120,17011,6376,8473,12.3
1972,52351,2634,10854,8413,16424,5972,8055,12.3
1971,52357,2933,11703,8264,16008,5798,7653,12.2
1970,51784,3031,11925,8355,15571,5580,7321,12.2
1969,51031,3095,12182,8398,15177,5263,6917,12.1
1968,50510,3261,12407,8564,14613,4945,6721,12.1
1967,49756,3417,12736,8463,14015,4755,6372,12
1966,49410,3614,12992,8611,13672,4342,6180,11.8
1965,49242,3774,13308,8529,13334,4370,5923,11.7
1964,48975,3959,13467,8537,12902,4394,5714,11.5
1962,48283,4213,13927,8399,11932,4315,5497,11.1
1960,47997,4522,15562,8988,10175,4127,4626,10.3
1959,47041,4257,14039,8326,10870,3801,4765,10.7
1957,46208,4610,14634,8003,10230,3347,4359,10.3
1952,42368,4396,14876,7048,8760,3164,3480,9.6999999999999993
1950,42627,5074,15852,6974,7511,2888,3008,9
1947,40483,4615,16086,6535,7353,2625,2478,8.9
1940,37463,5550,17639,5333,4507,1824,2021,8.6
