"25 to 34 Years, Female",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,22360,77,238,705,5405,5464,10470,N
2023,22240,76,238,775,5129,5564,10460,N
2022,22257,55,261,895,5264,5739,10044,N
2021,22447,50,244,919,4996,5976,10261,N
2020,22477,74,272,904,4900,6087,10240,N
2019,22482,84,300,1051,5045,6330,9671,N
2018,22364,87,344,1004,4930,6454,9547,N
2017,22129,84,342,1122,5037,6526,9018,N
2016,21918,93,390,1229,4838,6594,8774,N
2015,21579,126,375,1354,4767,6500,8457,N
2014,21248,135,435,1407,4717,6267,8287,N
2013,20981,99,454,1369,4892,6205,7962,N
2012,20755,112,484,1372,4847,6145,7795,N
2011,20599,128,483,1307,4806,6296,7580,N
2010,20396,137,527,1405,4728,6068,7530,N
2009,20079,137,531,1395,4856,5901,7258,N
2008,19937,111,475,1421,4941,5836,7153,N
2007,19843,134,527,1532,5047,5824,6781,N
2006,19654,140,577,1538,5069,5894,6435,N
2005,19633,173,607,1594,5053,5667,6539,N
2004,19603,150,606,1516,5224,5758,6349,N
2003,19679,153,598,1503,5364,5734,6325,N
2002,19436,153,584,1463,5237,5645,6353,N
2001,19536,147,569,1525,5195,5985,6115,N
2000,19222,130,542,1415,5557,5831,5750,N
1999,19551,122,525,1572,5712,5842,5779,N
1998,19828,130,553,1493,5977,5986,5688,N
1997,20217,149,533,1615,6227,6047,5643,N
1996,20528,195,569,1734,6386,6090,5568,N
1995,20800,165,556,1738,6885,6286,5170,N
1994,21073,138,581,1923,7075,6404,4953,N
1993,21007,143,543,1907,7432,6054,4928,N
1992,21368,203,567,2014,7908,5744,4933,N
1991,21586,195,629,2085,8693,4841,5143,12.9
1990,21779,209,653,1889,8986,4927,5112,12.9
1989,21777,195,654,1885,9242,4681,5119,12.9
1988,21675,193,657,1869,9319,4801,4836,12.9
1987,21494,168,662,1965,8995,4772,4932,12.9
1986,21097,160,644,1910,8952,4616,4813,12.9
1985,20673,168,627,1880,8794,4547,4657,12.9
1984,20297,173,649,1904,8634,4319,4621,12.9
1983,19903,161,665,1941,8452,4285,4398,12.9
1982,19614,155,713,1942,8512,4140,4148,12.8
1981,19203,161,698,1986,8427,4013,3918,12.8
1980,18565,164,725,1932,8087,3777,3879,12.8
1979,17334,173,685,1977,7486,3553,3460,12.8
1978,16857,172,742,1989,7292,3311,3351,12.6
1977,16421,136,710,2088,7212,2995,3280,12.7
1976,15882,112,784,2054,7248,2731,2954,12.7
1975,15316,135,833,2139,7037,2489,2686,12.6
1974,14750,142,796,2145,6871,2383,2413,12.6
1973,14155,129,884,2154,6830,2037,2121,12.6
1972,13487,128,862,2184,6485,1899,1926,12.5
1971,12950,156,919,2212,6183,1816,1663,12.5
1970,12629,140,876,2355,6096,1648,1512,12.5
1969,12285,155,965,2291,5941,1481,1451,12.4
1968,11904,157,1053,2246,5684,1484,1278,12.4
1967,11512,149,1084,2200,5458,1426,1195,12.4
1966,11322,186,1047,2319,5355,1273,1134,12.4
1965,11284,218,1197,2256,5310,1244,1060,12.4
1964,11269,202,1248,2216,5362,1221,1018,12.4
1962,11368,263,1367,2363,5115,1243,1017,12.3
1960,11637,289,1712,2694,4810,1256,875,12.2
1959,11696,345,1526,2503,5297,1142,822,12.3
1957,12069,327,1874,2519,5385,1094,795,12.2
1952,12202,342,2160,2630,5162,1102,784,12.2
1950,12172,516,2603,2624,4410,1081,714,12.1
1947,11733,471,2858,2503,4293,915,640,12
1940,10818,598,3744,2333,2653,862,544,10.3
