"35 to 54 Years, Both Sexes",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,84430,647,2217,4295,21360,20220,35690,N
2023,83490,612,2255,4264,21040,20060,35260,N
2022,83321,671,2186,4423,21531,19845,34665,N
2021,81684,671,2267,4278,20460,19961,34046,N
2020,80999,685,2133,4364,20261,20302,33254,N
2019,81727,716,2309,4957,21303,20572,31869,N
2018,82196,690,2289,4974,21680,21340,31223,N
2017,82072,709,2403,5059,22103,21621,30176,N
2016,82571,799,2636,5296,22298,22070,29473,N
2015,82715,862,2742,5471,23153,21826,28660,N
2014,82687,875,2612,5433,23238,22472,28057,N
2013,83324,778,2611,5437,23708,22831,27959,N
2012,83883,863,2762,5569,24608,22792,27288,N
2011,83796,899,2474,5682,25039,22796,26907,N
2010,84834,852,2549,5937,26145,22911,26440,N
2009,85688,909,2716,6046,26121,23384,26513,N
2008,86067,905,2742,5882,26108,23504,26926,N
2007,86224,874,2720,6310,26675,22777,26869,N
2006,85918,965,2769,6274,26636,23317,25958,N
2005,85311,954,2757,5892,27232,23129,25347,N
2004,84642,963,2582,5938,26649,23093,25417,N
2003,84308,957,2620,6112,26346,23039,25234,N
2002,83829,941,2636,5874,26740,23148,24489,N
2001,83286,886,2612,5899,26356,23271,24262,N
2000,81435,932,2521,5702,26481,22618,23183,N
1999,79976,872,2535,6052,26367,21561,22589,N
1998,78520,890,2613,6164,26079,21267,21506,N
1997,76973,867,2686,6045,26054,20684,20635,N
1996,74661,968,2710,5803,24924,20105,20152,N
1995,73028,927,2561,5664,24070,19926,19878,N
1994,71049,987,2680,5415,23804,19210,18956,N
1993,68845,942,2486,5538,23927,17984,17970,N
1992,66594,899,2608,5845,23442,16658,17144,N
1991,64351,995,3057,5522,24815,13348,16614,12.9
1990,62499,980,3104,5529,24434,12553,15899,12.9
1989,60494,999,3315,5800,23334,11627,15417,12.9
1988,58555,958,3272,5889,23049,11017,14369,12.8
1987,56650,842,3398,5656,22820,10523,13409,12.8
1986,55170,896,3614,5769,22151,10110,12629,12.8
1985,53697,899,3639,5978,21600,9217,12363,12.8
1984,52297,893,3754,6158,21290,8702,11500,12.7
1983,50956,973,4044,6313,20788,8045,10795,12.7
1982,49722,963,4320,6657,20445,7580,9756,12.6
1981,48680,1038,4531,6773,20032,7115,9181,12.6
1980,48124,1034,4676,7063,19584,6943,8822,12.6
1979,47437,1030,4895,7132,19488,6655,8237,12.5
1978,46921,1107,5262,7590,19012,6286,7667,12.5
1977,46409,1192,5445,7781,18781,6013,7196,12.5
1976,46271,1245,5729,7671,18893,5957,6776,12.5
1975,46193,1296,5942,7765,19010,5673,6506,12.4
1974,46217,1293,6244,7896,19038,5375,6372,12.4
1973,45910,1344,6519,8001,18651,5318,6076,12.4
1972,45956,1367,7004,8521,18400,5074,5589,12.3
1971,46294,1439,7588,8393,18334,5082,5460,12.3
1970,46319,1461,7935,8555,18200,4875,5294,12.3
1969,46255,1644,8313,8586,17773,4749,5190,12.3
1968,46396,1654,8698,8838,17362,4642,5200,12.2
1967,46321,1771,9036,9138,16906,4525,4947,12.2
1966,46313,1837,9528,9309,16605,4230,4805,12.1
1965,46296,1827,9812,9266,16359,4384,4647,12.1
1964,46089,1905,10259,9289,15760,4397,4482,12.1
1962,45287,2181,10795,8938,14668,4452,4253,12
1960,44742,2424,12536,9502,12517,4123,3639,11.3
1959,43989,2303,11657,8719,13244,3715,3709,11.8
1957,42645,2658,12349,8384,12041,3248,3360,11.3
1952,39014,2606,13274,7348,9374,3148,2802,10.5
1950,38432,3404,14420,6976,7262,2878,2516,9.6999999999999993
1947,36717,3203,15184,6311,6715,2622,2221,9
1940,33845,4549,16270,4972,4217,1836,1540,8.6
