"55 Years and Over, Both Sexes",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,100500,1327,3165,5541,30180,25920,34330,N
2023,99270,1216,3134,5490,30890,25470,33070,N
2022,98371,1400,2948,5637,30830,25322,32234,N
2021,97613,1257,3021,5707,30155,24978,32494,N
2020,96798,1253,3099,5981,29539,25071,31856,N
2019,94543,1233,3434,6062,29317,24587,29910,N
2018,92780,1258,3535,6273,29545,23970,28200,N
2017,90599,1280,3465,6143,28916,23351,27444,N
2016,88682,1406,3584,6009,28481,22981,26221,N
2015,86411,1447,3690,6276,28457,21785,24756,N
2014,84134,1365,3829,6094,27962,21059,23825,N
2013,81778,1306,3931,6043,27046,20387,23066,N
2012,79478,1348,3974,6344,26531,19343,21937,N
2011,76163,1372,4073,5983,25622,18408,20705,N
2010,74008,1440,4118,6051,25125,17354,19920,N
2009,72077,1555,4101,6338,24154,16877,19051,N
2008,70092,1411,4294,6338,23779,16378,17892,N
2007,68226,1576,4458,6680,23408,15505,16599,N
2006,66485,1628,4610,6508,22961,14824,15956,N
2005,64745,1614,4803,6784,22392,14083,15069,N
2004,63034,1465,4907,6821,21918,13434,14488,N
2003,61633,1589,5372,6876,21554,12884,13358,N
2002,59644,1528,5639,7258,20728,12117,12374,N
2001,58238,1544,5589,7178,20622,11864,11440,N
2000,56008,1524,5780,6921,20059,11126,10598,N
1999,55303,1589,5978,7096,19742,10722,10174,N
1998,54337,1624,6126,7385,19526,10022,9654,N
1997,53352,1628,6622,7543,18823,9565,9169,N
1996,52742,1642,6716,7520,18549,9642,8677,N
1995,52022,1755,7048,7232,18320,9662,8005,N
1994,51516,1802,7382,7454,18228,8890,7761,N
1993,52117,2058,8038,7637,18626,8106,7652,N
1992,51740,2118,8133,7756,18397,8005,7332,N
1991,51439,2341,8668,7675,18954,6540,7258,12.6
1990,50798,2349,9239,7893,18050,6202,7064,12.3
1989,50421,2412,9395,7907,18102,5914,6693,12.3
1988,50128,2325,9969,7860,18004,5705,6263,12.3
1987,49858,2408,10544,7766,17310,5799,6033,12.2
1986,49383,2611,10699,7917,16876,5515,5767,12.2
1985,48969,2612,11052,7872,16516,5208,5708,12.2
1984,48324,2584,11131,7636,16353,5026,5593,12.2
1983,47723,2769,11348,7703,15470,4915,5514,12.1
1982,47102,2818,11541,7751,15091,4807,5095,12.1
1981,46391,2983,11909,7600,14464,4721,4711,12
1980,45670,2994,12326,7451,13869,4494,4535,12
1979,43806,2924,12230,6999,13088,4321,4245,12
1978,42977,3013,12593,7069,12376,4086,3843,11.6
1977,42176,3047,12740,6823,11977,3835,3754,11.3
1976,41429,3107,12674,6915,11346,3709,3677,11.1
1975,40613,3303,13045,6730,10798,3442,3295,10.8
1974,39817,3461,13302,6615,10060,3233,3145,10.4
1973,39163,3424,13467,6504,9604,3060,3105,10.199999999999999
1972,38659,3471,13706,6351,9136,2952,3042,10
1971,38787,3808,14430,6225,8463,2878,2982,9.6
1970,38126,3957,14647,5877,8005,2797,2843,9.1999999999999993
1969,37424,4012,14576,5801,7768,2615,2653,9.1
1968,36789,4244,14522,5760,7085,2624,2558,8.9
1967,36155,4310,14849,5495,6622,2443,2434,8.6999999999999993
1966,35540,4438,14742,5392,6240,2358,2370,8.6
1965,34969,4612,14814,5293,5844,2194,2215,8.5
1964,34335,4888,14701,4954,5598,2159,2033,8.3000000000000007
1962,33247,5048,14707,4442,4994,2166,1890,8.1
1960,31902,5169,14944,4503,3757,2051,1479,8.5
1959,30567,4752,13485,4060,3996,1775,1545,8.1
1957,29548,5153,12996,3602,3864,1462,1461,8
1952,26206,4554,12638,2982,3080,1346,1264,7.7
1950,25427,4940,11947,2791,2704,1170,1005,8.3000000000000007
1947,23234,4393,11601,2179,2581,1003,825,7.5
1940,19592,4178,10467,1656,1633,685,579,8.1999999999999993
