observation_date,MEHOINUSFLA646N
1984-01-01,19790
1985-01-01,21340
1986-01-01,22850
1987-01-01,24490
1988-01-01,25410
1989-01-01,26090
1990-01-01,26690
1991-01-01,27250
1992-01-01,27350
1993-01-01,28550
1994-01-01,29290
1995-01-01,29750
1996-01-01,30640
1997-01-01,32460
1998-01-01,34910
1999-01-01,35830
2000-01-01,38860
2001-01-01,36420
2002-01-01,38020
2003-01-01,38970
2004-01-01,40540
2005-01-01,42990
2006-01-01,45680
2007-01-01,45790
2008-01-01,44860
2009-01-01,45630
2010-01-01,44070
2011-01-01,45110
2012-01-01,46070
2013-01-01,48530
2014-01-01,46140
2015-01-01,48830
2016-01-01,51180
2017-01-01,53090
2018-01-01,54640
2019-01-01,58370
2020-01-01,57760
2021-01-01,59730
2022-01-01,65370
2023-01-01,72200
2024-01-01,75630
