observation_date,MEHOINUSNYA672N
1984-01-01,59370
1985-01-01,61620
1986-01-01,64180
1987-01-01,65450
1988-01-01,69170
1989-01-01,72180
1990-01-01,69040
1991-01-01,67050
1992-01-01,63860
1993-01-01,63610
1994-01-01,62650
1995-01-01,63370
1996-01-01,66190
1997-01-01,65510
1998-01-01,67510
1999-01-01,70730
2000-01-01,69660
2001-01-01,70420
2002-01-01,69310
2003-01-01,69220
2004-01-01,70470
2005-01-01,72360
2006-01-01,71880
2007-01-01,71130
2008-01-01,70740
2009-01-01,70680
2010-01-01,69120
2011-01-01,68190
2012-01-01,63000
2013-01-01,65230
2014-01-01,69900
2015-01-01,74710
2016-01-01,78440
2017-01-01,77220
2018-01-01,82740
2019-01-01,87080
2020-01-01,82350
2021-01-01,83720
2022-01-01,80920
2023-01-01,83710
2024-01-01,86830
